movie_id,title,release_date,popularity,vote_average,vote_count,overview,original_language,genre_ids
812583,Wake Up Dead Man: A Knives Out Mystery,2025-11-26,56.99,7.203,1661,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",en,"[53, 9648, 35]"
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,55.2409,8.3,575,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",ja,"[16, 28, 10749, 14]"
575265,Mission: Impossible - The Final Reckoning,2025-05-17,54.5442,7.205,2388,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",en,"[28, 53, 12]"
1387382,Hunting Season,2025-12-05,54.069,7.117,103,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",en,"[28, 18, 53]"
980477,Ne Zha 2,2025-01-29,46.2485,8.116,546,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",zh,"[16, 14, 12, 28]"
1180831,Troll 2,2025-11-30,44.2603,6.588,345,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",no,"[28, 14, 53]"
1234821,Jurassic World Rebirth,2025-07-01,45.0411,6.36,2769,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",en,"[878, 12, 28]"
911430,F1,2025-06-25,43.543,7.79,3029,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,en,"[28, 18]"
617126,The Fantastic 4: First Steps,2025-07-23,44.0124,6.999,2797,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",en,"[878, 12, 28]"
1233413,Sinners,2025-04-16,38.1065,7.498,3178,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",en,"[27, 28, 53]"
1246049,Dracula,2025-07-30,41.2752,7.1,715,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.",fr,"[27, 14, 10749]"
1061474,Superman,2025-07-09,40.0226,7.4,4110,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",en,"[878, 12, 28]"
1363123,The Family Plan 2,2025-11-11,39.5817,6.564,442,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",en,"[28, 35]"
701387,Bugonia,2025-10-23,39.5956,7.402,1094,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",en,"[878, 80]"
1259102,Eternity,2025-11-26,34.8037,7.126,278,"In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died young and has waited decades for her to arrive.",en,"[10749, 35, 18]"
1087192,How to Train Your Dragon,2025-06-06,36.8065,7.969,2418,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",en,"[14, 10751, 28, 12]"
1291608,Dhurandhar,2025-12-05,38.0915,6.5,139,"After the hijacking of IC-814 in 1999 and the Parliament attack in 2001, India’s Intelligence Bureau Chief, Ajay Sanyal, devises an indomitable mission to intrude and rupture the terrorist network in Pakistan, by infiltrating the underworld mafia of Karachi with the help of a 20-year-old boy from Punjab, held captive for a revenge crime.",hi,"[28, 53]"
1214931,Nuremberg,2025-11-06,35.9633,7.33,327,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",en,"[36, 18]"
1038392,The Conjuring: Last Rites,2025-09-03,33.0783,6.934,1555,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,en,[27]
541671,Ballerina,2025-06-04,31.9906,7.3,2168,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",en,"[28, 53, 80]"
574475,Final Destination Bloodlines,2025-05-14,31.9401,7.096,2533,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",en,"[27, 9648]"
1197137,Black Phone 2,2025-10-15,30.1974,6.8,792,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",en,"[27, 53]"
